"good.names","SporeName","SporeDim1_min","SporeDim1_max","SporeDim2_min","SporeDim2_max","Phylum","EquatorialAxis","PolarAxis","SporeVolume","Dimension_units","Volume_units","Source"
"Fusarium verticillioides","macroconidia",31,58,2.7,3.6,"Ascomycota",3.15,44.5,231.195693863898,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium verticillioides","microconidia",7,10,2.5,3.2,"Ascomycota",2.85,8.5,36.1499139657761,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Gaeumannomyces graminis","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Gelasinospora retispora","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Geomyces pannorum","conidia",2,5,2,4,"Ascomycota",3,3.5,16.4933614313464,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Geotrichum candidum","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Gibellulospis nigrescens","conidia",4,8.5,1.5,2.5,"Ascomycota",2,6.25,13.0899693899575,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Gilmaniella humicola","conidia",7,10,7,10,"Ascomycota",8.5,8.5,321.555098064305,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Giocladium viride","conidia",3,4,1.7,2.7,"Ascomycota",2.2,3.5,8.86976325863518,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Glomerella cingulata","conidia",12,18,4.5,6,"Ascomycota",5.25,15,216.475368786422,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Gongronella butleri","conidia",2.2,4.5,1.6,2.5,"Ascomycota",2.05,3.35,7.3714199124137,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Gonytrichum macrocladum","conidia",3.5,5.8,2,3.6,"Ascomycota",2.8,4.65,19.0883169632116,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Gymnoascus reesii","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Harzia acremonioides","conidia",20,30,15,20,"Ascomycota",17.5,25,4008.80312567448,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Heteroconium chaetospira","conidia",20,35,3,4,"Ascomycota",3.5,27.5,176.387337529677,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Hormiactis candida","conidia",10,19,3,4,"Ascomycota",3.5,14.5,93.0042325156478,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Humicola fuscoatra var. fuscoatra","conidia",3,5,1.5,2,"Ascomycota",1.75,4,6.41408500107916,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Humicola grisea","conidia",3,3.5,1.5,2,"Ascomycota",1.75,3.25,5.21144406337682,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Hypomyces chrysospermus","conidia",15,25,15,25,"Ascomycota",20,20,4188.79020478639,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Idriella lunata","conidia",7,13,2,2.5,"Ascomycota",2.25,10,26.5071880146639,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Isaria farinosa","conidia",2,3,1,1.8,"Ascomycota",1.4,2.5,2.56563400043166,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Isaria fumosorosea","conidia",3,4,1,2,"Ascomycota",1.5,3.5,4.1233403578366,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Khuskia oryzae","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Lecanicillium muscarium","conidia",2.5,5.5,1,1.5,"Ascomycota",1.25,4,3.27249234748937,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Lecanicillium psalliotae","conidia",5,10,1.2,1.7,"Ascomycota",1.45,7.5,8.25649819271568,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Letptosphaeria coniothryrium","conidia",3.5,4.5,2.2,2.7,"Ascomycota",2.45,4,12.5716066021152,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Letptosphaeria maculans","conidia",4,6,1.5,2,"Ascomycota",1.75,5,8.01760625134895,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Mammaria echinobotryoides","conidia",8.5,17.5,4.5,8.5,"Ascomycota",6.5,13,287.586627497366,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Mariannaea elegans","conidia",4,6,1.5,2.5,"Ascomycota",2,5,10.471975511966,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Metarhizium anisopliae","conidia",5,8,2.5,3.5,"Ascomycota",3,6.5,30.6305283725005,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Microascus trigonosporus","conidia",4,4.5,3.5,4,"Ascomycota",3.75,4.25,31.2932080728671,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Microdochium bolleyi","conidia",5.5,8.5,1.6,2.2,"Ascomycota",1.9,7,13.231341059369,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Monoascus ruber","conidia",6,12,4.5,10,"Ascomycota",7.25,9,247.69494578147,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Monocillium mucidum","conidia",2.8,3.9,1.8,2.2,"Ascomycota",2,3.35,7.0162235930172,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Monographella nivalis","conidia",10,18,2.5,3.5,"Ascomycota",3,14,65.9734457253857,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Myceliophthora vellerea","conidia",9,11,6.5,9.5,"Ascomycota",8,10,335.103216382911,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Myrmecridium schulzeri","conidia",7.5,9,3,4,"Ascomycota",3.5,8.25,52.9162012589031,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Myrothecium cinctum","conidia",6.5,14,2.5,4.5,"Ascomycota",3.5,10.25,65.7443712610614,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Myrothecium roridum","conidia",5.5,7,1.5,2,"Ascomycota",1.75,6.25,10.0220078141862,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Myrothecium verrucaria","conidia",6.5,8,2,3.5,"Ascomycota",2.75,7.25,28.7079391183505,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Nannizia fulva","conidia",3.3,8.3,1.7,3.3,"Ascomycota",2.5,5.8,18.9804556154383,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Nannizia grubyia","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Nannizia gypsea","conidia",3.5,9.5,1.7,3.3,"Ascomycota",2.5,6.5,21.2712002586809,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Nannizia incurvata","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
